"Sl no","pdf_urls"
"135","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzgzNDAwMDAxMjQ1NDIwMjNJUw%3D%3D"
"136","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzQwMDAwMDAxMTUyODIwMjNJUw%3D%3D"
"137","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzUzNjAwMDAxMjcwODIwMjNMMQ%3D%3D"
"138","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzczMzAwMDAxMzE2NzIwMjNMMQ%3D%3D"
"139","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1ODE1MjAwMDAxMjk5MTIwMjNJUw%3D%3D"
"140","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNCMjIyMjIyMjIyMjIzAwMDAwMDAxNTIwMjNGMg%3D%3D"
"141","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MTUxNzAwMDAwMDEyNTIwMjNJUw%3D%3D"
"142","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MTU3NDAwMDAwMDI1ODIwMjNJUw%3D%3D"
"143","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MTQ2MzAwMDAwMDUzMjIwMjNMMQ%3D%3D"
"144","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MTczODAwMDAwMDg4ODIwMjNMMQ%3D%3D"
"145","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MjM3NjAwMDAwMTY0MDIwMjNJUw%3D%3D"
"146","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MjQwNjAwMDAwMjI1NjIwMjNMMQ%3D%3D"
"147","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzA4MjAwMDAwMzA4MDIwMjNJUw%3D%3D"
